"name","address","phone","website","image","tags"
"Hot Stove Saloon","551 Rt 28, Harwich Port, MA 02646","5084329911","hotstovesaloon.com","http://s3-media2.fl.yelpcdn.com/bphoto/uSqR57P2g1QAEXq76DK7nw/ms.jpg","American (Traditional),tradamerican"
"The Oyster Company","202 Depot St, Dennis Port, MA 02639","5083984600","theoystercompany.com","http://s3-media2.fl.yelpcdn.com/bphoto/IBdZKHrD0yVueqriNMYafg/ms.jpg","Seafood,seafood"
"Yarmouth House Restaurant","335 Rt 28, West Yarmouth, MA 02673","5087715154","yarmouthhouse.com","http://s3-media4.fl.yelpcdn.com/bphoto/OvJBpfaaEB6ZlM2e1PxBkA/ms.jpg","Seafood,seafood,Steakhouses,steak,Cocktail Bars,cocktailbars"
"Summer Shanty","Bass River Marina, 140 Main St, West Dennis, MA 02670","5083940400","summershanty.com","http://s3-media2.fl.yelpcdn.com/bphoto/NBPCh71fI5PukSQ8Sr_pCw/ms.jpg","Seafood,seafood"
"Bluefins Sushi & Sake Bar","513 Main St, Chatham, MA 02633","5083481573","bluefinschatham.com","http://s3-media4.fl.yelpcdn.com/bphoto/6n1gv90hbjSzrwHOzOOJdQ/ms.jpg","Sushi Bars,sushi,Japanese,japanese,Seafood,seafood"
"Bayside Betsy's","177 Commercial St, Provincetown, MA 02657","5084876566","baysidebetsys.com","http://s3-media3.fl.yelpcdn.com/bphoto/Xufb_9ca9Kya0gnW2Z2Scw/ms.jpg","Seafood,seafood,American (Traditional),tradamerican"
"Old Yarmouth Inn","223 Rt 6A, Yarmouth Port, MA 02675","5083629962","oldyarmouthinn.com","http://s3-media1.fl.yelpcdn.com/bphoto/Y46mnhsnfx4y6_AIG9OmTg/ms.jpg","American (Traditional),tradamerican"
"Chapin's Fish & Chips & Beach Bar","228 Lower County Rd, Dennis Port, MA 02639","5083946900","chapinsbeachbar.com","http://s3-media2.fl.yelpcdn.com/bphoto/b-_h4_P3RgMzinddM71DDQ/ms.jpg","Bars,bars,Fish & Chips,fishnchips"
"Longshore","1077 Main St, Chatham, MA 02633","5089451700","longshorerestaurant.com","http://s3-media4.fl.yelpcdn.com/bphoto/oUtFcbK2Y78wojvSKmOvtQ/ms.jpg","Seafood,seafood"
"British Beer Company","412 Main St, Hyannis, MA 02601","5087711776","britishbeer.com","http://s3-media3.fl.yelpcdn.com/bphoto/0teY1ONEwnvD6cC-vm2beQ/ms.jpg","Pizza,pizza,American (Traditional),tradamerican"
"Bubala's by the Bay","183 Commercial St, Provincetown, MA 02657","5084870773","bubalas.com","http://s3-media2.fl.yelpcdn.com/bphoto/VYZ-B-u54zd2HJdi73zOYw/ms.jpg","American (New),newamerican"
"Skipper Restaurant & Chowder House","152 S Shore Dr, South Yarmouth, MA 02664","5083947406","skipperrestaurant.com","http://s3-media3.fl.yelpcdn.com/bphoto/FU_FP0nooJC6mUe49URoTQ/ms.jpg","Seafood,seafood"
"Montano's Restaurant","481 W US 6, North Truro, MA 02652","5084872026","montanos.com","http://s3-media3.fl.yelpcdn.com/bphoto/8Gtzp1IQuqRaC1SfARQbUA/ms.jpg","Italian,italian"
"Laurino's of Cape Cod","3668 Main St, Brewster, MA 02631","5088966135","","http://s3-media3.fl.yelpcdn.com/bphoto/rPM4oJhHsq1U6h0ieMq7Hw/ms.jpg","Pizza,pizza"
"Ember","600 Route 28, Harwich Port, MA 02646","5084300407","emberpizza.com","http://s3-media3.fl.yelpcdn.com/bphoto/4tCIQR49KYCIxmXgwl5TSw/ms.jpg","Pizza,pizza"
"Marshside Restaurant","28 Bridge St, East Dennis, MA 02641","5083854010","themarshside.com","http://s3-media4.fl.yelpcdn.com/bphoto/qbknnzDsYRRHLzBKvGDckA/ms.jpg","Seafood,seafood"
"Buds Country Lounge","3 Bearse Rd, Hyannis, MA 02601","5087712505","","http://s3-media4.fl.yelpcdn.com/bphoto/9hTAvYK5EZlGh2EPjguXjQ/ms.jpg","Lounges,lounges"
"The Beach Tree Bar","599 Main St Side, Hyannis, MA 02601","5087713272","","http://s3-media2.fl.yelpcdn.com/bphoto/Ayd8aGRVekehhlv9be-ZxQ/ms.jpg","Bars,bars"
"Wooden Shoe","419 Lower County Rd, Dennis Port, MA 02639","5083946431","","http://s3-media3.fl.yelpcdn.com/bphoto/oJAxSxeQ_tZVbBDTjW91Rw/ms.jpg","Seafood,seafood"
"The Elbow Room","473 Main St, Hyannis, MA 02601",,"","http://s3-media4.fl.yelpcdn.com/bphoto/9CP4y0e1mbcNYdCKamE9vw/ms.jpg","Bars,bars"
"Del Mar Bistro & Bar","907 Main St, Chatham, MA 02633","5089459988","delmarchatham.com","http://s3-media4.fl.yelpcdn.com/bphoto/2SIzFrXN_upG0LkJBvdd8A/ms.jpg","American (New),newamerican,Cocktail Bars,cocktailbars"
"Lighthouse Restaurant","317 Main St, Wellfleet, MA 02667","5083493681","mainstreetlighthouse.com","http://s3-media4.fl.yelpcdn.com/bphoto/e7B0r1VY0GvFxr_EthsuKw/ms.jpg","Breakfast & Brunch,breakfast_brunch"
"Ciro & Sal's","4 Kiley Ct, Provincetown, MA 02657","5084876444","ciroandsals.com","http://s3-media2.fl.yelpcdn.com/bphoto/tX3YEUfeLSyXNcF1MWkGMQ/ms.jpg","Italian,italian,Seafood,seafood,Wine Bars,wine_bars"
